CustomerID,Total_Revenue,Total_Orders,Total_Items,First_Purchase,Last_Purchase,AOV,Lifespan_Days,Purchase_Freq,Historical_CLV,Predictive_CLV_12m,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,77183.6,1,74215,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,1,30.0,77183.6,9262032.0,326,1,77183.6,1,1,5,7,Hibernating
12347,4310.0,7,2458,2010-12-07 14:57:00,2011-12-07 15:52:00,615.7142857142857,365,0.5753424657534247,4310.0,4250.958904109589,2,7,4310.0,5,5,5,15,Champions
12348,1797.24,4,2341,2010-12-16 19:09:00,2011-09-25 13:13:00,449.31,282,0.425531914893617,1797.24,2294.348936170213,75,4,1797.24,2,4,4,10,At Risk
12349,1757.55,1,631,2011-11-21 09:51:00,2011-11-21 09:51:00,1757.55,1,30.0,1757.55,210906.0,19,1,1757.55,4,1,4,9,Potential Loyalists
12350,334.4,1,197,2011-02-02 16:01:00,2011-02-02 16:01:00,334.4,1,30.0,334.4,40128.0,310,1,334.4,1,1,2,4,Lost
12352,2506.04,8,536,2011-02-16 12:33:00,2011-11-03 14:37:00,313.255,260,0.9230769230769231,2506.04,3469.9015384615386,36,8,2506.04,3,5,5,13,Champions
12353,89.0,1,20,2011-05-19 17:47:00,2011-05-19 17:47:00,89.0,1,30.0,89.0,10680.0,204,1,89.0,1,1,1,3,Lost
12354,1079.4,1,530,2011-04-21 13:11:00,2011-04-21 13:11:00,1079.4,1,30.0,1079.4,129528.0,232,1,1079.4,1,1,4,6,Lost
12355,459.4,1,240,2011-05-09 13:49:00,2011-05-09 13:49:00,459.4,1,30.0,459.4,55128.0,214,1,459.4,1,1,2,4,Lost
12356,2811.43,3,1591,2011-01-18 09:50:00,2011-11-17 08:40:00,937.1433333333333,302,0.2980132450331126,2811.43,3351.3735099337755,23,3,2811.43,4,3,5,12,Loyal Customers
12357,6207.67,1,2708,2011-11-06 16:07:00,2011-11-06 16:07:00,6207.67,1,30.0,6207.67,744920.3999999999,33,1,6207.67,4,1,5,10,Potential Loyalists
12358,1168.06,2,248,2011-07-12 10:04:00,2011-12-08 10:26:00,584.03,149,0.40268456375838924,1168.06,2822.1583892617446,2,2,1168.06,5,2,4,11,Loyal Customers
12359,6372.58,4,1622,2011-01-12 12:43:00,2011-10-13 12:47:00,1593.145,274,0.43795620437956206,6372.58,8372.73284671533,58,4,6372.58,3,4,5,12,Loyal Customers
12360,2662.06,3,1165,2011-05-23 09:43:00,2011-10-18 15:22:00,887.3533333333334,148,0.6081081081081081,2662.06,6475.2810810810815,52,3,2662.06,3,3,5,11,Loyal Customers
12361,189.9,1,91,2011-02-25 13:51:00,2011-02-25 13:51:00,189.9,1,30.0,189.9,22788.0,287,1,189.9,1,1,1,3,Lost
12362,5226.23,10,2229,2011-02-17 10:30:00,2011-12-06 15:40:00,522.6229999999999,292,1.0273972602739727,5226.23,6443.297260273972,3,10,5226.23,5,5,5,15,Champions
12363,552.0,2,408,2011-04-11 13:29:00,2011-08-22 10:18:00,276.0,132,0.45454545454545453,552.0,1505.4545454545455,110,2,552.0,2,2,3,7,Hibernating
12364,1313.1,4,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,328.275,104,1.1538461538461537,1313.1,4545.346153846152,8,4,1313.1,5,4,4,13,Champions
